Movie Recommendations (Top 10 using K=10 neighbors)
-----------------------------------------------------------

User ID: 74247
  Recommended Movies (MovieID: Score | Title):
  - 3724: 5.000 | Coming Home (1978),Drama|War
  - 3350: 5.000 | "Raisin in the Sun, A (1961)",Drama
  - 3975: 5.000 | Lucky Numbers (2000),Comedy|Drama
  - 3629: 5.000 | "Gold Rush, The (1925)",Adventure|Comedy|Romance
  - 1925: 5.000 | Wings (1927),Action|Drama|Romance|War
  - 1446: 5.000 | Kolya (Kolja) (1996),Comedy|Drama
  - 1907: 5.000 | Mulan (1998),Adventure|Animation|Children|Comedy|Drama|Musical|Romance
  - 5013: 5.000 | Gosford Park (2001),Comedy|Drama|Mystery
  - 2137: 5.000 | Charlotte's Web (1973),Animation|Children
  - 4306: 5.000 | Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance

User ID: 52959
  Recommended Movies (MovieID: Score | Title):
  - 745: 5.000 | Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy
  - 2324: 5.000 | Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama|Romance|War
  - 3481: 5.000 | High Fidelity (2000),Comedy|Drama|Romance
  - 1078: 5.000 | Bananas (1971),Comedy|War
  - 1188: 5.000 | Strictly Ballroom (1992),Comedy|Romance
  - 3307: 5.000 | City Lights (1931),Comedy|Drama|Romance
  - 2303: 5.000 | Nashville (1975),Drama|Musical
  - 1212: 5.000 | "Third Man, The (1949)",Film-Noir|Mystery|Thriller
  - 933: 5.000 | To Catch a Thief (1955),Crime|Mystery|Romance|Thriller
  - 345: 5.000 | "Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama

User ID: 105453
  Recommended Movies (MovieID: Score | Title):
  - 350: 5.000 | "Client, The (1994)",Drama|Mystery|Thriller
  - 593: 5.000 | "Silence of the Lambs, The (1991)",Crime|Horror|Thriller
  - 11: 4.501 | "American President, The (1995)",Comedy|Drama|Romance
  - 34: 4.211 | Babe (1995),Children|Drama
  - 161: 4.183 | Crimson Tide (1995),Drama|Thriller|War
  - 282: 4.002 | Nell (1994),Drama
  - 225: 4.001 | Disclosure (1994),Drama|Thriller
  - 589: 4.000 | Terminator 2: Judgment Day (1991),Action|Sci-Fi
  - 783: 4.000 | "Hunchback of Notre Dame, The (1996)",Animation|Children|Drama|Musical|Romance
  - 500: 4.000 | Mrs. Doubtfire (1993),Comedy|Drama

User ID: 60182
  Recommended Movies (MovieID: Score | Title):
  - 2648: 5.000 | Frankenstein (1931),Drama|Horror|Sci-Fi
  - 2918: 5.000 | Ferris Bueller's Day Off (1986),Comedy
  - 2615: 5.000 | My Science Project (1985),Adventure|Sci-Fi
  - 3926: 5.000 | Voyage to the Bottom of the Sea (1961),Adventure|Sci-Fi
  - 1306: 5.000 | Until the End of the World (Bis ans Ende der Welt) (1991),Adventure|Drama|Sci-Fi
  - 3340: 5.000 | Bride of the Monster (1955),Horror|Sci-Fi
